struct.pack,https://docs.python.org/2/library/struct.html#struct.pack,python,method,struct
difflib.context_diff,https://docs.python.org/2/library/difflib.html#difflib.context_diff,python,method,difflib
difflib.get_close_matches,https://docs.python.org/2/library/difflib.html#difflib.get_close_matches,python,method,difflib
difflib.ndiff,https://docs.python.org/2/library/difflib.html#difflib.ndiff,python,method,difflib
difflib.restore,https://docs.python.org/2/library/difflib.html#difflib.restore,python,method,difflib
difflib.unified_diff,https://docs.python.org/2/library/difflib.html#difflib.unified_diff,python,method,difflib
cStringIO.StringIO,https://docs.python.org/2/library/stringio.html#cStringIO.StringIO,python,method,cStringIO
textwrap.wrap,https://docs.python.org/2/library/textwrap.html#textwrap.wrap,python,method,textwrap
struct.pack_into,https://docs.python.org/2/library/struct.html#struct.pack_into,python,method,struct
struct.unpack,https://docs.python.org/2/library/struct.html#struct.unpack,python,method,struct
struct.unpack_from,https://docs.python.org/2/library/struct.html#struct.unpack_from,python,method,struct
difflib.IS_LINE_JUNK,https://docs.python.org/2/library/difflib.html#difflib.IS_LINE_JUNK,python,method,difflib
difflib.IS_CHARACTER_JUNK,https://docs.python.org/2/library/difflib.html#difflib.IS_CHARACTER_JUNK,python,method,difflib
unicodedata.lookup,https://docs.python.org/2/library/unicodedata.html#unicodedata.lookup,python,method,unicodedata
unicodedata.name,https://docs.python.org/2/library/unicodedata.html#unicodedata.name,python,method,unicodedata
unicodedata.decimal,https://docs.python.org/2/library/unicodedata.html#unicodedata.decimal,python,method,unicodedata
unicodedata.digit,https://docs.python.org/2/library/unicodedata.html#unicodedata.digit,python,method,unicodedata
textwrap.fill,https://docs.python.org/2/library/textwrap.html#textwrap.fill,python,method,textwrap
textwrap.dedent,https://docs.python.org/2/library/textwrap.html#textwrap.dedent,python,method,textwrap
struct.calcsize,https://docs.python.org/2/library/struct.html#struct.calcsize,python,method,struct
re.compile,https://docs.python.org/2/library/re.html#re.compile,python,method,re
codecs.encode,https://docs.python.org/2/library/codecs.html#codecs.encode,python,method,codecs
codecs.decode,https://docs.python.org/2/library/codecs.html#codecs.decode,python,method,codecs
unicodedata.numeric,https://docs.python.org/2/library/unicodedata.html#unicodedata.numeric,python,method,unicodedata
